📝 Transcript Werfvergadering Werf Oost
Tijd	Stem	Naam en Functie	Transcript
0:00	Sophie Smets	Projectmanager	Goedemorgen allemaal. Fijn dat we verzamelen voor onze wekelijkse werfvergadering. Aangezien we een nieuwe fase in het project ingaan met nieuwe mensen, stel ik voor dat we even kort herbeginnen met een voorstelrondje.
0:13	Sophie Smets	Projectmanager	Ik ben Sophie Smets, Projectmanager bij Bouwteam Oost. Ik volg de planning, de budgetten en de communicatie met de klant en de architect op. Ik probeer vooral dat alles op schema blijft en dat iedereen goed weet wat er van hem verwacht wordt.
0:26	Jan Peeters	Werfleider	Goedemorgen. Ik ben Jan Peeters, Werfleider. Ik sta elke dag op de werf, stuur de ploegen aan en zorg ervoor dat het werk veilig en volgens plan verloopt. Ik ben het aanspreekpunt voor de onderaannemers en probeer problemen zo snel mogelijk op te lossen.
0:40	Tom Van Akker	Veiligheidscoördinator	Ja, en ik ben Tom Van Akker, Veiligheidscoördinator. Mijn taak is erop toe te zien dat we hier allemaal gezond blijven. Ik controleer de veiligheidsmaatregelen, geef toolbox-meetings en werk samen met Jan om risico's te beperken.
0:54	Sophie Smets	Projectmanager	Goed, laten we beginnen met de korte update. Jan, hoe staat het met de ruwbouw?
1:00	Jan Peeters	Werfleider	We zitten op schema. De ruwbouw van het hoofdgebouw is zo goed als klaar. De metsers werken vandaag nog aan de laatste binnenmuur. En de dakwerken zijn gisteren gestart. Als het weer meezit, ligt het dak volledig dicht tegen eind volgende week.
1:13	Sophie Smets	Projectmanager	Dat klinkt goed. En hoe zit het met de ramen?
1:17	Jan Peeters	Werfleider	De ramen worden volgende maandag geleverd. Ik heb wel vernomen dat één van de leveranciers vertraging heeft met het glas voor de zuidgevel. Dat zou drie dagen later komen, maar dat heeft voorlopig geen impact op de rest van de planning.
1:31	Sophie Smets	Projectmanager	Oké, ik noteer dat even. We moeten dat wel communiceren naar de architect, zodat hij weet dat de voorlopige oplevering van de gevel een paar dagen opschuift.
1:41	Tom Van Akker	Veiligheidscoördinator	Ja, ik wil toch even over veiligheid nog iets zeggen. Vorige week was er een incident. Een onderaannemer is uitgegleden op een natte plaat. Gelukkig niets ernstigs, maar het had wel heel wat erger kunnen zijn.
1:55	Jan Peeters	Werfleider	Ja, dat klopt, Tom. Ik heb er ondertussen een extra antislipmat neergelegd bij de ingangen en de betonvloer ook laten reinigen.
2:03	Tom Van Akker	Veiligheidscoördinator	Oké, dat is goed. Ik wil wel nog eens benadrukken dat iedereen verplicht zijn veiligheidsschoenen en helm moet dragen. Ook bezoekers. Bij het bezoek van de architect volgende week donderdag voorzie ik dan wel extra helmen, maar laat jij mij dan weten wie er allemaal aanwezig zal zijn?
2:22	Sophie Smets	Projectmanager	Ok, zal ik doen. Tom, had jij nog opmerkingen over de signalisatie?
2:27	Tom Van Akker	Veiligheidscoördinator	Ja, er ontbreken ook nog een paar borden aan de noordzijde van de werf. Vooral de zone waar de vrachtwagens lossen, die is niet goed aangeduid. En dat is een risico voor voetgangers. Dus dat wil ik ook tegen morgen wel in orde hebben.
2:40	Jan Peeters	Werfleider	Ja, geen probleem. Ik laat mijn ploeg dat vandaag nog afhandelen.
2:45	Sophie Smets	Projectmanager	Oké, dan de planning. We zitten op schema, maar komende weken worden wel een test. Volgende week starten de technieken: electriciteit, HVAC en sanitair. Jan, heb jij de onderaannemers daarop afgestemd?
3:00	Jan Peeters	Werfleider	Ja, ik heb er gisteren nog een coördinatievergadering gehouden. Ze weten dat ze vanaf dinsdag kunnen starten op de eerste verdieping. We voorzien aparte zones per ploeg om elkaar niet in de weg te lopen.
3:12	Tom Van Akker	Veiligheidscoördinator	Let wel zeker op dat er voldoende doorgangen vrijblijven voor evacuatie. Ik zal anders maandag even langskomen om dat ook te checken.
3:24	Sophie Smets	Projectmanager	Prima. En qua planning voor de klant, we houden nog steeds vast aan de voorlopige oplevering 1 juni, juist?
3:32	Jan Peeters	Werfleider	Als er geen grote weersvertraging komt, halen we dat zeker.
3:36	Sophie Smets	Projectmanager	Nog één puntje: communicatie. De klant heeft gevraagd om elke week een korte update te krijgen met foto's van de voortgang. Jan, zou jij dat kunnen doorgeven aan onze communicatieverantwoordelijke?
3:48	Jan Peeters	Werfleider	Ja, zeker. Ik laat onze ploegbaas elke vrijdag een keer foto's nemen.
3:52	Tom Van Akker	Veiligheidscoördinator	En vergeet er geen paar foto's inzake veiligheidsmaatregelen op de werf bij te doen. Dat komt altijd goed over.
4:00	Sophie Smets	Projectmanager	Goede tip, Tom. Zo, even samenvatten. De ruwbouw is bijna klaar, de dakwerken lopen tot eind volgende week. De ramen worden maandag geleverd met lichte vertraging aan de zuidgevel. Extra veiligheidsborden worden vandaag geplaatst. Technische werken starten dinsdag. En donderdag volgende week werfbezoek met klant en architect. Nog iets toe te voegen?
4:26	Jan Peeters	Werfleider	Nee, alles is duidelijk Sophie. Ik zorg voor de signalisatie en stuur het eind van de dag nog een korte update rond.
4:33	Tom Van Akker	Veiligheidscoördinator	Oké, en ik mail straks de nieuwe veiligheidsfiche en ik vraag nog om iedereen te tekenen voor ontvangst.
4:39	Sophie Smets	Projectmanager	Perfect. Bedankt allemaal voor de duidelijke input. We liggen goed op schema, laten we dat zo houden. Tot volgende week.
4:47	Jan Peeters	Werfleider	Dag.
